Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,144600,146200,144200,146200,145302.3125,534385
2018-08-06,146600,149600,146200,147000,146097.4063,303035
2018-08-07,148400,150800,147200,148800,147886.3594,324185
2018-08-08,148400,151200,148400,150000,149078.9688,312410
2018-08-09,150600,155800,149000,155800,154843.3594,665170
2018-08-10,155400,156400,154000,154200,153253.1875,345420
2018-08-13,153400,153400,150000,151000,150072.8438,418340
2018-08-14,152000,153400,150800,151400,150470.375,308015
2018-08-16,150000,152600,149000,150000,149078.9688,570495
2018-08-17,150800,153600,149600,151000,150072.8438,193900
2018-08-20,152800,153200,150600,151000,150072.8438,194680
2018-08-21,150800,152200,149400,149400,148482.6563,241605
2018-08-22,149400,149600,148200,149400,148482.6563,239675
2018-08-23,151000,154600,150400,154400,153451.9531,495420
2018-08-24,154200,155800,151000,151600,150669.1563,271300
2018-08-27,152600,155000,152000,153800,152855.6563,223740
2018-08-28,154400,154400,150600,151200,150271.6094,233335
2018-08-29,151200,152000,149600,149600,148681.4375,274750
2018-08-30,149600,151400,149000,149200,148283.8906,238975
2018-08-31,149400,151200,149200,150400,149476.5156,289765
2018-09-03,150600,151000,149400,150800,149874.0625,156035
2018-09-04,151400,151400,149800,151000,150072.8438,187280
2018-09-05,150600,150600,145400,147200,146296.1563,591425
2018-09-06,147200,148000,145400,146000,145103.5313,352455
2018-09-07,146400,147000,144400,146400,145501.0781,322865
2018-09-10,144000,146400,144000,145000,144109.6719,359830
2018-09-11,144600,146200,144400,145200,144308.4531,292970
2018-09-12,146000,146800,145200,146000,145103.5313,291080
2018-09-13,147000,147000,144600,144600,143712.125,514055
2018-09-14,145200,146600,144800,146000,145103.5313,365840
2018-09-17,145000,146200,144600,145600,144706,269755
2018-09-18,144000,145800,144000,145000,144109.6719,277260
2018-09-19,145200,146800,145000,146200,145302.3125,276430
2018-09-20,144400,146800,144400,146200,145302.3125,287195
2018-09-21,148200,148600,144600,145000,144109.6719,375655
2018-09-27,143000,146000,142400,142600,141724.4063,390075
2018-09-28,143400,143800,142600,143200,142320.7344,487325
2018-10-01,143600,144400,142200,142600,141724.4063,211085
2018-10-02,143000,143000,137200,137800,136953.8906,744920
2018-10-04,140000,140400,137000,139000,138146.5156,353485
2018-10-05,136400,143200,136400,140800,139935.4688,427980
2018-10-08,140800,140800,140800,140800,139935.4688,0
2018-10-10,140800,140800,140800,140800,139935.4688,0
2018-10-11,140800,140800,140800,140800,139935.4688,0
2018-10-12,138000,142000,132500,142000,141128.0938,654013
2018-10-15,138500,139000,135000,136000,135164.9375,642772
2018-10-16,137500,138500,130000,133500,132680.2969,575704
2018-10-17,132500,134500,129500,130000,129201.7813,5304519
